Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Acantharea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidimicrobiia,16511,22398,11092,11454,12132,8239,9607,7884,6920,15432,16498,14209,25245,18199,19175
Acidithiobacillia,3388,4934,2832,2900,2590,1773,2146,1951,1698,4563,4628,3705,4766,3601,3055
Acidobacteriia,150336,270558,137373,283470,151964,92861,184527,130917,66913,422903,284535,141212,254126,161493,133055
Aconoidasida,7931,10999,5747,6554,5348,3763,5251,4009,3536,11512,10014,6852,12142,8942,6241
Actinobacteria,1756268,2145487,1105711,1504762,1124071,796893,1174177,863310,680849,2437506,1807428,1381272,3095572,1885829,1660062
Agaricomycetes,111046,147482,80449,86440,76288,54975,68354,58131,47173,163720,135403,98874,170268,119374,96416
Alphaproteobacteria,999008,1544975,776400,1088804,817705,581142,794616,697174,445227,1754424,1328396,863978,1512346,1097099,849854
Anaerolineae,13551,20190,11517,9761,10873,7733,8435,8005,7563,16471,18763,16213,21489,17145,16332
Aquificae,1796,2715,1585,1558,1447,1115,1205,1098,941,2323,2492,1948,2910,2376,2132
Archaeoglobi,465,842,481,435,410,335,346,313,261,690,739,617,815,713,560
Archaeorhizomycetes,2,0,0,5,2,0,0,0,0,0,0,0,0,1,0
Ardenticatenia,2731,4167,2357,1934,2190,1537,1715,1631,1484,3145,3521,3124,4420,3611,3490
Armophorea,2,9,1,2,5,1,4,3,1,10,6,4,5,8,2
Arthoniomycetes,1,0,0,0,0,0,1,0,0,4,0,3,1,0,0
Bacillariophyceae,2011,2632,1519,1657,1379,935,1205,1077,868,2712,2514,1828,2851,2152,1597
Bacilli,121456,174044,96292,106016,92727,65945,84492,70994,58325,167935,156852,118054,187452,140555,115495
Bacteroidia,26753,36827,20090,23167,19004,13610,18408,14730,11820,38347,34716,24257,41782,29691,23019
Balneolia,1202,1650,910,1038,867,653,858,654,570,1589,1591,1239,2045,1518,1360
Bangiophyceae,37279,47007,24133,22051,22129,15406,19714,17630,15134,38530,39813,32179,61040,43047,39758
Basidiobolomycetes,781,1094,566,607,513,382,506,409,364,1081,955,638,1122,857,621
Betaproteobacteria,515926,777246,428160,379332,379524,252068,306618,283087,268257,601338,721740,596537,719453,552763,527769
Blastocatellia,10038,14625,7112,5149,7547,5136,5172,5873,5062,11254,15319,11278,31457,21550,22111
Blastocladiomycetes,6417,8759,4726,4920,4414,3113,3967,3377,2858,8378,7825,5896,9849,7313,6447
Caldilineae,1468,2140,1234,1246,1218,808,983,854,776,1721,2019,1676,2359,1836,1847
Caldisericia,173,278,165,136,167,106,112,84,81,192,244,185,247,239,160
Calditrichae,715,1010,681,704,655,436,490,479,348,983,1083,837,1155,940,863
Candidatus Lambdaproteobacteria,382,519,343,342,315,203,254,220,159,542,529,383,599,435,418
Candidatus Muproteobacteria,2293,3628,2097,1715,1935,1305,1391,1400,1177,3064,3820,2887,3431,2726,2707
Candidatus Peribacteria,1181,1477,902,662,606,488,648,513,442,1082,1219,937,1678,1374,1140
Candidatus Thalassoarchaea,106,112,79,77,89,47,59,59,39,107,98,101,137,107,106
cannot be assigned,1901598,2650036,1592968,1528816,1552102,1096984,1229683,1198469,1033451,2470756,2796820,2225886,2949845,2386206,2254844
Chitinispirillia,268,349,236,241,224,143,217,165,105,350,328,312,394,355,261
Chitinivibrionia,139,194,108,117,106,98,98,80,70,174,171,159,194,162,150
Chitinophagia,35433,38623,16331,17982,16032,10790,16960,12454,10500,25627,29930,18344,58310,34252,23869
