Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Acanthamoebidae,2404,3319,1830,1947,1723,1213,1539,1249,1078,3207,3045,2216,3744,2774,2389
Acanthoecidae,2,5,1,0,4,0,3,2,0,1,1,3,2,2,0
Acaryochloridaceae,935,1225,657,841,669,481,663,566,451,1355,1223,870,1431,979,807
Acetobacteraceae,32521,48941,25422,34537,26828,17927,25636,21257,15024,52282,43327,30314,50477,35612,27701
Acholeplasmataceae,400,615,288,311,296,200,255,220,173,578,472,389,633,488,322
Acidaminococcaceae,992,1449,869,824,805,551,694,558,514,1321,1322,1070,1433,1183,971
Acidiferrobacteraceae,2091,3467,2069,1788,1830,1294,1393,1448,1167,2752,3740,2749,3249,2510,2325
Acidilobaceae,281,442,216,221,204,132,180,130,155,378,350,273,466,338,264
Acidimicrobiaceae,12462,16937,8313,8743,9040,6192,7334,5890,5251,11842,12317,10626,18740,13378,14033
Acidithiobacillaceae,2110,3181,1830,1984,1705,1151,1415,1289,1083,3001,2961,2357,2962,2299,1823
Acidobacteriaceae,109532,197302,96158,210294,103963,67045,132072,87783,47895,297522,188658,97894,170177,103801,70494
Acidothermaceae,2069,1915,669,1902,910,713,1567,689,507,3340,1274,869,4086,2064,2001
Acinetosporaceae,7,1,1,6,4,0,1,0,0,5,2,0,8,6,1
Acrasiaceae,1,5,0,2,2,4,0,1,0,3,0,3,3,3,3
Actinomycetaceae,18535,24719,13040,14579,12553,8888,11690,9999,7908,23939,21147,16749,30138,20723,18469
Actinopolysporaceae,3382,3998,2312,2894,2171,1500,2338,1732,1440,4696,3483,2652,5847,3844,3120
Actinospicaceae,3996,4295,1868,4166,2202,1617,3053,1563,1041,8167,2901,1859,6796,2984,2257
Aerococcaceae,815,1229,774,648,573,480,619,474,418,1071,979,800,1194,902,709
Aeromonadaceae,4507,6476,3616,4041,3356,2353,2994,2643,2168,6320,6146,4492,6663,4930,4074
Agaricaceae,2201,2870,1673,1735,1507,1161,1436,1187,960,3327,2759,1936,3405,2373,1885
Ahnfeltiaceae,2,3,5,4,2,1,0,0,2,3,6,4,0,3,4
Ajellomycetaceae,5474,7784,4103,5090,3853,2871,3654,3130,2403,7855,6878,5066,8310,6257,5019
Akkermansiaceae,1028,1346,738,1437,897,666,954,751,572,1449,1423,996,1889,1411,1164
Alariaceae,1,2,2,2,1,2,1,0,2,0,3,3,3,1,0
Albuginaceae,1021,1354,690,834,730,497,668,592,404,1475,1345,871,1497,1138,755
Alcaligenaceae,33671,48954,26232,26065,24437,16889,21354,19121,15739,41763,43884,32921,50369,37105,32371
Alcanivoracaceae,2665,3803,2157,2277,1909,1463,1707,1555,1202,3603,3945,3392,3986,2914,2574
Algiphilaceae,523,688,379,377,343,232,268,238,241,641,705,547,668,495,456
Alicyclobacillaceae,7048,10662,5780,5834,5723,4095,4921,4300,3609,8855,8871,7211,10465,8441,7309
Alteromonadaceae,10274,14988,8279,9026,7842,5646,6850,6058,4800,14889,14253,10806,15268,11184,9041
Amanitaceae,1292,1642,878,919,812,638,725,628,527,2094,1496,1014,1957,1198,946
Amoebidae,1,2,4,1,1,1,1,1,1,1,2,1,4,1,1
Amoebophilaceae,176,282,138,171,143,97,122,97,99,254,216,168,246,188,171
Amoebophryaceae,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
Amphiacanthidae,111,163,98,124,94,66,76,67,57,146,162,109,182,147,124
Amphisiellidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amylocorticiaceae,1994,2452,1453,1385,1343,947,1185,1050,789,2620,2237,1762,3071,2077,1810
Anaerolineaceae,7767,11517,6619,5809,6266,4393,4953,4605,4294,9806,10898,9169,12311,9845,9339
Anaeromyxobacteraceae,8031,11023,5962,6068,5951,4311,4824,4403,3995,9529,11211,8299,14024,9933,9548
Anaplasmataceae,798,1177,608,710,524,382,531,412,348,1115,1039,752,1178,842,651
Ancylistaceae,397,527,261,306,303,196,270,200,175,538,460,318,539,416,307
Aphanizomenonaceae,1112,1688,960,986,879,582,847,689,540,1661,1504,1119,1884,1399,1083
Aphanothecaceae,859,1356,733,802,643,479,628,567,425,1243,1226,956,1435,1019,922
Apusomonadidae,2933,4119,2114,2117,1998,1508,1792,1526,1263,3533,3351,2745,4571,3289,2855
Aquificaceae,798,1231,712,665,604,513,534,496,388,1051,1100,868,1320,1100,963
Archaeoglobaceae,465,842,481,435,410,335,346,313,261,690,739,617,815,713,560
Archaeorhizomycetaceae,2,0,0,5,2,0,0,0,0,0,0,0,0,1,0
Archangiaceae,16723,22819,12688,13085,12871,9467,10275,9601,8703,21176,22565,16773,28143,20366,18730
Ardenticatenaceae,2731,4167,2357,1934,2190,1537,1715,1631,1484,3145,3521,3124,4420,3611,3490
Argynnaceae,1233,1872,839,1329,831,614,831,623,538,1958,1516,1065,1839,1347,992
Arthrodermataceae,3449,4679,2577,2872,2517,1715,2250,1823,1517,4865,4174,3161,5153,3762,3066
Ascobolaceae,5,6,0,2,1,1,0,1,2,9,4,2,2,1,3
Ascoideaceae,251,377,164,241,181,112,199,134,99,354,334,225,365,282,187
Ascosphaeraceae,745,1172,595,672,561,418,532,406,377,1114,929,722,1175,887,704
Aspergillaceae,31867,44414,23921,28220,22202,16168,20864,17574,13989,44997,39824,28744,47082,34641,27395
Atheliaceae,4793,5987,3174,3492,3144,2277,2646,2267,1791,6587,5280,4002,7152,4813,3719
Atopobiaceae,2759,3880,2101,2214,2011,1401,1852,1557,1277,3451,3214,2693,4460,3176,2929
Aurantimonadaceae,9833,14516,7970,9069,7943,5458,6737,6326,4735,13708,12956,9345,14942,11053,9255
Aureobasidiaceae,2798,3781,2064,2403,2001,1446,1796,1581,1138,3919,3518,2634,4124,3030,2463
Auriculariaceae,3022,4083,2363,2347,2018,1589,2044,1718,1422,4193,3730,2887,4872,3479,2883
Babesiidae,805,1133,660,702,626,393,572,454,364,1234,1148,701,1174,917,669
Bacillaceae,38671,55917,30574,34128,29921,21243,27798,23018,18361,53533,50124,38253,60218,44995,37108
Bacillales Family X. Incertae Sedis,77,124,78,61,51,49,57,50,42,99,94,76,107,85,80
Bacillariaceae,1136,1464,859,904,792,558,669,573,492,1572,1433,1057,1628,1261,904
Bacteriovoracaceae,528,797,421,457,364,288,379,269,246,780,718,482,868,631,534
Bacteroidaceae,6900,9305,5161,6067,4966,3645,4875,3886,3116,10143,9038,6287,10716,7604,5676
Balamuthiidae,4,7,8,2,5,0,4,2,4,7,9,10,4,8,4
Balneolaceae,1202,1650,910,1038,867,653,858,654,570,1589,1591,1239,2045,1518,1360
Bangiaceae,36147,45433,23290,21033,21327,14826,18930,16957,14636,36995,38370,31057,59360,41798,38750
Bartonellaceae,1230,1930,979,1187,952,774,901,830,568,1928,1712,1268,1903,1423,1048
Basidiobolaceae,781,1094,566,607,513,382,506,409,364,1081,955,638,1122,857,621
Bathycoccaceae,3143,4323,2367,2320,1961,1575,1988,1601,1446,3880,3733,2776,4967,3646,2944
Batrachospermaceae,4,8,1,4,1,1,2,1,4,5,8,5,5,3,1
Bdellovibrionaceae,1586,2322,1243,1342,1036,712,1139,701,768,2157,1840,1334,2112,1698,1365
Beijerinckiaceae,10837,19183,9164,16173,9591,6314,9641,8998,4849,20994,16324,10583,23841,12274,8745
Berkeleyaceae,2,1,0,1,0,0,0,0,0,2,0,0,1,2,0
Bernardetiaceae,310,378,243,235,192,169,219,180,154,445,367,241,539,361,266
Beutenbergiaceae,896,1120,621,717,593,417,585,451,367,1181,965,753,1522,962,928
Bifidobacteriaceae,7077,9762,5333,6187,5130,3717,4705,3979,3140,9688,8836,6756,11194,8051,6783
Bionectriaceae,2,3,3,6,3,2,4,4,0,3,3,6,1,5,2
