Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Abiotrophia,72,90,47,47,48,40,44,49,27,84,77,76,100,70,52
Absidia,2096,2865,1529,1639,1434,995,1342,1124,864,2801,2764,1715,2965,2278,1677
Acanthamoeba,2404,3319,1830,1947,1723,1213,1539,1249,1078,3207,3045,2216,3744,2774,2389
Acaricomes,167,210,102,118,114,88,124,87,61,223,167,130,278,182,161
Acaryochloris,935,1225,657,841,669,481,663,566,451,1355,1223,870,1431,979,807
Acavomonas,3,6,0,0,1,0,3,2,0,7,1,0,6,3,0
Acetabularia,4,12,2,7,3,2,5,3,2,5,0,3,7,1,1
Acetanaerobacterium,106,120,57,105,65,57,76,45,46,102,106,76,125,108,96
Acetitomaculum,64,77,33,37,40,19,42,35,22,56,66,45,91,61,51
Acetivibrio,258,402,213,243,199,131,161,124,89,355,343,229,325,280,244
Acetoanaerobium,102,147,61,62,61,53,53,46,40,96,109,89,143,109,87
Acetobacter,3939,5819,3167,3920,3011,2124,2947,2497,1876,6049,5369,3724,5889,4327,3260
Acetobacterium,319,486,276,345,273,193,226,188,167,482,447,347,480,403,306
Acetohalobium,99,154,100,80,68,65,62,62,68,117,130,124,172,122,119
Acetomicrobium,343,522,311,282,290,188,229,232,190,427,457,376,561,421,378
Acetonema,253,414,219,249,213,170,174,187,171,353,376,291,440,295,273
Achaetomium,3,6,0,0,0,0,1,0,4,1,1,0,5,1,2
Achlya,1190,1803,909,1106,870,601,903,788,602,1759,1618,1233,1966,1430,1147
Acholeplasma,297,403,215,231,217,151,178,154,114,414,330,269,486,342,233
Achromatium,466,691,398,359,363,237,311,242,234,654,672,499,695,438,411
Achromobacter,9028,12941,7039,7024,6577,4584,5853,5185,4147,11316,11288,8513,13433,10046,8583
Acidaminobacter,157,217,110,120,98,78,96,91,79,179,210,140,223,188,127
Acidaminococcus,388,632,390,326,359,232,283,249,226,591,578,451,632,516,413
Acidianus,181,264,158,149,165,94,96,98,108,222,218,199,289,212,155
Acidibacillus,583,809,459,525,396,328,373,306,310,773,672,575,857,654,582
Acidicaldus,2,0,0,2,1,0,1,3,0,0,2,0,1,0,1
Acidiferrobacter,592,1069,719,565,626,443,394,486,444,845,1284,1005,917,714,623
Acidihalobacter,1709,2365,1402,1318,1229,827,1005,913,781,2088,2255,1669,2254,1719,1438
Acidilobus,281,442,216,221,204,132,180,130,155,378,350,273,466,338,264
Acidimicrobium,2861,3929,2032,1986,2274,1444,1681,1449,1283,2709,2936,2486,4647,3369,3543
Acidiphilium,2803,4334,2131,3471,2515,1620,2561,1994,1267,5361,3845,2686,4730,3119,2241
Acidiplasma,47,100,36,41,43,27,31,36,38,81,83,68,85,60,42
