Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Acholeplasmatales,400,615,288,311,296,200,255,220,173,578,472,389,633,488,322
Acidaminococcales,992,1449,869,824,805,551,694,558,514,1321,1322,1070,1433,1183,971
Acidiferrobacterales,2091,3467,2069,1788,1830,1294,1393,1448,1167,2752,3740,2749,3249,2510,2325
Acidilobales,321,499,261,264,245,158,211,163,183,414,425,342,524,388,292
Acidimicrobiales,15597,21163,10494,10905,11409,7800,9113,7426,6514,14609,15578,13348,23546,16958,17841
Acidithiobacillales,3388,4934,2832,2900,2590,1773,2146,1951,1698,4563,4628,3705,4766,3601,3055
Acidobacteriales,150336,270558,137373,283470,151964,92861,184527,130917,66913,422903,284535,141212,254126,161493,133055
Acidothermales,2069,1915,669,1902,910,713,1567,689,507,3340,1274,869,4086,2064,2001
Acrasida,1,5,0,2,2,4,0,1,0,3,0,3,3,3,3
Actinomycetales,18986,25400,13378,14937,12847,9127,12015,10274,8115,24569,21652,17219,30978,21277,18944
Actinopolysporales,3382,3998,2312,2894,2171,1500,2338,1732,1440,4696,3483,2652,5847,3844,3120
Aeromonadales,5082,7368,4089,4581,3782,2674,3453,2983,2445,7211,6978,5109,7553,5612,4606
Agaricales,31832,41592,22907,24177,21880,15875,19316,16511,13313,46195,39418,27952,48599,33927,27069
Ahnfeltiales,2,3,5,4,2,1,0,0,2,3,6,4,0,3,4
Albuginales,1021,1354,690,834,730,497,668,592,404,1475,1345,871,1497,1138,755
Alteromonadales,23850,34130,19006,21167,17815,12721,15852,13764,11099,34833,32675,24213,35321,26006,20743
Amylocorticiales,1994,2452,1453,1385,1343,947,1185,1050,789,2620,2237,1762,3071,2077,1810
Anaerolineales,7767,11517,6619,5809,6266,4393,4953,4605,4294,9806,10898,9169,12311,9845,9339
Aquificales,1440,2109,1253,1233,1139,895,967,858,717,1836,1947,1508,2313,1865,1679
Archaeoglobales,465,842,481,435,410,335,346,313,261,690,739,617,815,713,560
Archaeorhizomycetales,2,0,0,5,2,0,0,0,0,0,0,0,0,1,0
Ardenticatenales,2731,4167,2357,1934,2190,1537,1715,1631,1484,3145,3521,3124,4420,3611,3490
Armophorida,2,9,1,2,5,1,4,3,1,10,6,4,5,8,2
Arthoniales,1,0,0,0,0,0,1,0,0,4,0,3,1,0,0
Arthracanthida,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atheliales,4793,5987,3174,3492,3144,2277,2646,2267,1791,6587,5280,4002,7152,4813,3719
Auriculariales,5925,8092,4604,4639,4139,3002,3967,3281,2737,8101,7370,5635,9289,6921,5611
Bacillales,100420,144244,79593,87079,77430,55002,69633,59003,48533,137261,129238,98093,154914,116262,97035
Bacillariales,1136,1464,859,904,792,558,669,573,492,1572,1433,1057,1628,1261,904
Bacteroidales,23422,32236,17707,20437,16737,12109,16242,13021,10462,33905,30648,21476,36394,25974,20176
Bacteroidetes Order II. Incertae sedis,3612,5218,2988,2921,2903,2047,2426,2145,1816,4664,5016,3823,5955,4764,4320
Balneolales,1202,1650,910,1038,867,653,858,654,570,1589,1591,1239,2045,1518,1360
Bangiales,36147,45433,23290,21033,21327,14826,18930,16957,14636,36995,38370,31057,59360,41798,38750
Basidiobolales,781,1094,566,607,513,382,506,409,364,1081,955,638,1122,857,621
