Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Acidobacteria,592109,896059,493593,635990,536482,363583,471013,443577,296668,1151708,1050324,647054,923432,627347,551544
Actinobacteria,2089979,2565463,1327539,1653776,1325715,944857,1320197,1012437,833268,2636603,2110233,1694917,3534265,2283357,2057986
Apicomplexa,34815,48218,25752,28215,24341,17157,22369,18817,15663,47550,43390,32000,53332,39402,31756
Aquificae,1796,2715,1585,1558,1447,1115,1205,1098,941,2323,2492,1948,2910,2376,2132
Armatimonadetes,16951,29672,23660,12303,16237,11063,10626,11295,12810,19391,27565,25801,25214,23701,21180
Ascomycota,278636,388352,201791,248790,192533,137037,178032,148179,121441,398581,340335,243853,407740,303973,236572
Bacillariophyta,10248,13636,7389,7678,6933,4855,6274,5487,4660,12798,12119,9174,15941,11558,9742
Bacteroidetes,198842,252557,127105,154774,121080,84271,123096,94832,76972,234829,224913,151260,318158,215141,161451
Balneolaeota,1202,1650,910,1038,867,653,858,654,570,1589,1591,1239,2045,1518,1360
Basidiomycota,170938,229610,125757,133526,117409,84530,106637,90953,73752,245242,209586,154256,262732,186961,152315
Blastocladiomycota,6417,8759,4726,4920,4414,3113,3967,3377,2858,8378,7825,5896,9849,7313,6447
Caldiserica,173,278,165,136,167,106,112,84,81,192,244,185,247,239,160
Calditrichaeota,715,1010,681,704,655,436,490,479,348,983,1083,837,1155,940,863
candidate division CPR1,102,118,88,68,59,37,50,55,39,108,107,98,140,105,107
candidate division CPR2,212,323,190,109,140,109,117,107,104,213,213,209,305,266,234
candidate division CPR3,154,181,109,121,96,71,72,76,84,181,143,157,216,159,144
candidate division Hyd2412,332,417,224,223,197,158,185,187,157,409,391,310,451,322,314
candidate division KD362,244,338,200,165,171,160,149,134,116,204,301,278,365,286,308
candidate division NC10,4760,7295,4435,3662,4790,3241,3310,3388,3014,6076,9315,6913,8454,7036,7352
candidate division WOR3,429,618,340,409,394,255,316,289,234,657,611,480,761,540,499
candidate division WWE3,763,1175,622,592,636,432,474,381,401,916,963,740,1173,1001,769
candidate division Zixibacteria,2905,4426,2798,2311,2555,1798,2042,1804,1661,3970,4606,3540,5003,4102,4054
Candidatus Abawacabacteria,97,157,103,72,80,55,74,57,53,132,152,124,147,157,94
Candidatus Acetothermia,795,1251,797,629,667,510,528,506,466,934,1116,985,1274,1147,1038
Candidatus Adlerbacteria,456,516,265,238,212,135,165,139,101,377,371,309,456,354,323
Candidatus Aenigmarchaeota,20,36,19,12,21,19,10,16,36,43,40,37,33,30,22
Candidatus Amesbacteria,563,819,498,361,446,335,359,288,307,647,715,608,810,735,570
Candidatus Aminicenantes,4030,5638,3302,3308,3468,2253,2710,2622,2090,5725,6245,4512,6523,5210,4889
Candidatus Andersenbacteria,129,217,133,84,86,63,94,65,67,127,155,145,191,185,147
Candidatus Atribacteria,300,466,242,221,263,162,203,193,173,367,402,349,449,381,351
Candidatus Azambacteria,270,455,242,244,222,183,192,168,133,372,426,320,473,383,344
Candidatus Bathyarchaeota,1614,2502,1578,1253,1445,997,1034,1024,1159,1854,2333,2207,2385,1983,1747
Candidatus Beckwithbacteria,271,379,194,204,207,144,167,131,145,306,351,281,372,290,286
Candidatus Berkelbacteria,561,810,510,374,400,284,326,272,279,583,633,527,734,733,587
Candidatus Blackburnbacteria,200,292,158,101,138,92,113,111,103,214,211,197,254,212,184
Candidatus Brennerbacteria,15,28,11,8,12,3,8,3,10,20,22,6,13,14,10
Candidatus Buchananbacteria,430,657,443,321,382,252,329,215,205,524,590,472,697,540,482
Candidatus Campbellbacteria,107,143,85,103,69,48,68,48,42,136,131,117,157,120,109
Candidatus Chisholmbacteria,242,416,193,178,199,142,143,170,125,270,324,254,364,321,263
Candidatus Cloacimonetes,861,1277,716,794,729,493,621,508,450,1340,1293,1001,1517,1149,1081
Candidatus Coatesbacteria,236,374,221,163,191,125,147,145,103,316,334,263,381,324,291
Candidatus Collierbacteria,281,474,229,199,215,137,173,118,141,365,323,301,447,323,288
Candidatus Colwellbacteria,104,176,106,68,77,48,65,53,52,130,178,107,168,140,127
Candidatus Curtissbacteria,754,1154,704,493,559,413,436,375,458,823,926,828,1065,1025,877
Candidatus Dadabacteria,968,1579,909,870,1068,652,669,696,605,1382,1628,1244,1906,1618,1473
Candidatus Daviesbacteria,1359,2232,1211,752,759,563,670,582,507,1167,1317,1082,1645,1442,1141
Candidatus Delongbacteria,63,116,54,69,54,33,40,47,23,91,99,75,108,70,84
Candidatus Desantisbacteria,485,826,425,406,388,295,328,302,278,655,713,558,843,707,568
Candidatus Doudnabacteria,1111,1378,891,577,598,447,524,475,503,1006,1144,966,1414,1347,1175
Candidatus Edwardsbacteria,343,618,349,335,297,227,299,221,193,557,595,432,612,471,425
Candidatus Eisenbacteria,2137,2967,1943,1274,1480,941,989,1031,915,2130,4156,2584,4604,2984,3979
Candidatus Falkowbacteria,678,1116,652,542,593,400,443,446,405,940,963,732,1173,919,739
Candidatus Firestonebacteria,352,583,334,288,327,202,265,204,201,505,509,425,577,458,409
Candidatus Fischerbacteria,520,722,481,484,461,339,365,343,300,737,845,590,955,764,735
Candidatus Fraserbacteria,289,495,308,205,261,193,229,205,200,339,493,406,538,426,457
Candidatus Giovannonibacteria,606,807,529,495,442,310,363,337,309,710,857,571,915,718,628
Candidatus Glassbacteria,721,993,579,560,604,395,463,436,370,1034,961,765,1157,849,804
Candidatus Gottesmanbacteria,1929,2859,1592,1311,1319,1033,1104,975,1003,2141,2200,1896,2701,2225,1884
Candidatus Gracilibacteria,35,44,38,30,32,18,28,22,19,61,56,37,62,57,42
Candidatus Handelsmanbacteria,2909,4299,2743,2210,2562,1672,1911,1897,1678,3485,4357,3651,4630,3843,3638
Candidatus Harrisonbacteria,171,246,146,131,120,89,109,100,89,191,238,194,278,215,179
Candidatus Hydrogenedentes,227,335,215,209,187,134,131,116,118,271,337,265,333,298,276
Candidatus Jacksonbacteria,26,60,37,28,28,19,36,25,29,34,62,29,49,34,48
Candidatus Jorgensenbacteria,294,411,272,233,194,146,157,156,125,328,335,254,406,367,289
Candidatus Kaiserbacteria,2603,3187,1851,1366,1183,968,1059,997,908,2652,2705,2034,2962,2441,2112
Candidatus Kerfeldbacteria,224,302,188,145,119,109,106,101,101,234,240,209,298,248,226
Candidatus Komeilibacteria,259,305,220,194,173,133,158,124,113,267,280,218,354,316,245
Candidatus Korarchaeota,90,136,111,95,64,57,63,51,61,107,124,146,138,111,92
Candidatus Kryptonia,767,1078,592,580,661,447,516,436,401,986,1073,877,1249,975,905
Candidatus Kuenenbacteria,148,220,131,108,95,76,110,81,81,125,174,180,227,211,165
Candidatus Latescibacteria,1031,1386,824,786,769,561,603,555,524,1250,1388,1070,1507,1247,1219
Candidatus Levybacteria,2157,3190,1840,1030,1075,795,970,706,905,1685,1858,1328,2342,1942,1513
Candidatus Lindowbacteria,807,1218,715,703,693,474,572,536,410,1122,1219,933,1237,964,1003
Candidatus Liptonbacteria,368,575,388,271,249,215,225,177,168,466,505,460,531,364,313
Candidatus Lloydbacteria,405,612,386,314,298,246,221,226,170,487,570,514,606,527,385
Candidatus Lokiarchaeota,296,400,244,264,247,197,212,192,176,421,431,346,491,328,283
Candidatus Magasanikbacteria,1485,2214,1292,1197,1083,824,884,809,702,1736,1909,1467,2165,1882,1550
Candidatus Margulisbacteria,269,451,208,269,238,146,169,159,167,359,360,283,410,344,269
Candidatus Marinimicrobia,462,642,365,372,367,262,311,257,222,598,625,459,730,581,526
Candidatus Micrarchaeota,414,607,387,360,333,231,255,250,254,543,574,524,650,536,419
Candidatus Microgenomates,230,307,172,153,158,93,127,95,89,268,237,206,279,241,204
Candidatus Moranbacteria,736,1045,614,576,481,405,456,399,342,953,945,746,1080,899,815
Candidatus Nanohaloarchaeota,115,139,95,116,80,48,72,64,59,161,129,144,176,121,85
Candidatus Nealsonbacteria,186,304,141,162,135,85,129,75,86,242,219,162,279,230,201
Candidatus Niyogibacteria,81,119,82,57,54,45,52,45,30,100,104,71,112,97,79
Candidatus Nomurabacteria,1153,1508,967,822,684,480,709,481,427,1306,1475,1069,1818,1469,1168
Candidatus Odinarchaeota,56,101,52,58,47,39,41,38,38,80,112,89,115,76,67
Candidatus Omnitrophica,8141,11927,7243,6968,6836,4804,5357,5153,4366,10186,11817,9513,13037,11116,9768
Candidatus Pacebacteria,186,294,215,156,148,119,130,105,80,288,294,222,350,261,195
Candidatus Parcubacteria,817,1236,635,715,476,418,516,397,319,971,968,753,1149,1030,690
Candidatus Parvarchaeota,48,66,49,36,41,20,38,28,36,57,62,65,59,60,50
Candidatus Peregrinibacteria,2159,2725,1610,1276,1219,945,1142,930,779,2057,2254,1767,3042,2384,2070
Candidatus Poribacteria,15,36,22,15,22,12,20,11,15,31,30,30,34,15,17
Candidatus Portnoybacteria,188,245,136,154,150,84,118,116,95,226,244,184,258,224,182
Candidatus Raymondbacteria,499,789,409,479,412,267,338,274,233,709,721,486,730,568,485
