,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Alphaproteobacteria,1222553,979176,704268,1090485,1786001,885697,892082,848121,510173,1945631,1582027,974129,1581215,1232606,958041,804897,737393,243543,234865,490465,467769,834021,812664,776744,757719,964256,931739,499900,604201,259188,305768,647014,169710,63517,239558,63798,263876,255485,417174,661811,392478,337430,567675,53489,42068,9960,117788,49140,47116,56048,43930,256,263,36769,38737,81777,23872,41416,36311,91827,47810,78778,46634,37593,3190,59258,66248,72498,64267,58753,104338,59395,31509,54808,102704,95110,42670,3619,50090,52686,23147,50699,46823,2980567,2914124,258457,214527,109594,220190,265016,259311,24120,151624,60703,121851,84149,246432,63057,66715,43791,39788,60131,61299,62386
Actinobacteria,1002073,640004,458381,1118350,1157023,549504,761972,439834,365755,1550470,865633,676914,2158743,1142692,1091551,143061,127514,33412,32527,155634,143530,223811,216824,150200,147997,190147,181902,135988,99881,398533,291025,623138,149841,428021,576248,451924,807097,97223,109522,169340,237875,139172,221170,65541,63999,12812,191874,63808,84308,83937,62307,233,330,41791,50748,72048,27264,41503,51272,98502,64106,88845,63090,39622,4276,73428,66321,63370,55022,48863,114847,63616,25876,56867,52168,63229,34744,2764,49703,59429,19904,45966,53381,1777915,1706435,464106,238718,119954,487463,439489,206597,41316,250132,107327,331554,120452,403504,102650,110591,224728,199407,29391,29936,30572
Betaproteobacteria,197936,260235,160763,344675,579914,332441,172349,176127,219870,286092,557909,526146,417902,373093,416216,111539,107701,35052,33520,120055,116659,167648,163539,209339,203610,244574,236866,153794,98006,42527,54140,99433,97489,3088,82334,40174,72961,106206,77325,128846,90393,83798,140477,13270,10521,2893,25658,12176,9824,16454,9899,79,54,7711,10067,25872,5465,12579,7266,21700,11131,19861,10962,11494,933,18070,19378,27394,21326,19730,30733,17643,9681,17184,14955,27572,14299,1196,10454,12576,7698,15333,11262,525799,511623,47747,35964,17750,26434,44346,68090,5523,36563,15434,51019,59309,120161,26103,27191,27353,24222,55920,56353,56800
Solibacteres,80584,83718,56780,105284,172218,78376,72164,62068,40570,206806,196182,101374,178146,105794,73085,71610,64083,21090,20244,69189,65539,105981,103396,60753,59464,81315,78743,83492,46253,4567,11478,15872,15249,0,5986,1365,6401,1434,18096,27889,16751,16126,130859,1809,1617,814,4467,2788,3845,3669,2477,21,14,2267,3619,3023,1254,2623,1931,4783,1972,3644,1710,1275,179,1816,2249,5646,3634,3891,4046,2306,1749,2208,6240,7357,1464,217,2694,2117,964,2522,1680,132415,127775,9616,7199,3710,7119,5044,5014,819,5564,2408,18445,14643,40344,8499,9915,4838,4337,6606,6527,6712
Acidobacteriia,243725,164816,100498,148774,269446,151996,171361,143081,74633,447953,338810,166312,219076,141959,112961,111273,101663,42804,41169,111736,105813,189681,183614,92422,88529,109817,106102,86686,88025,1410,5045,5837,13156,0,4904,1628,3733,0,25715,82861,13806,13823,182821,1056,1064,775,3162,1935,2562,1848,1814,10,6,1473,2265,1632,602,1351,1471,3212,1298,1802,1008,700,139,1427,1954,4104,2570,5484,3381,1546,1513,1935,10634,4741,863,143,3538,2174,676,2002,884,144623,141084,4083,3658,1709,3967,47556,150992,7048,43996,18162,28119,32722,79391,15911,19034,19104,17676,18373,18221,18840
Thermoleophilia,69710,69410,47970,136235,129626,35550,65296,58867,33148,43324,71114,65538,171616,147538,123383,3567,3123,780,717,2879,2628,4862,4689,5940,5671,8306,7870,7011,8088,54180,43329,83261,29801,193280,196050,180185,220488,9092,8016,9425,23310,12295,5349,11066,8210,1302,22015,8251,7114,7825,6545,16,53,6163,6787,9004,4268,5319,6989,14140,8002,12629,9495,5745,441,8555,9132,5519,5844,5336,12192,8847,4118,6607,3940,7698,4739,448,6040,7010,2398,6061,8558,210959,198062,46585,37757,18886,49788,32898,13090,5563,34374,14746,41733,6961,28651,6447,10675,3259,3026,4282,4330,4489
Spartobacteria,99108,51434,33370,35039,44505,30962,55063,45937,24053,51171,60515,51855,116618,107677,96077,42580,37532,9748,9268,53301,51082,76877,73249,25224,24291,29820,28360,5476,13036,4374,6900,8908,9821,0,26524,5547,29449,7344,12206,13116,22269,18562,4412,894,692,246,1117,862,503,1201,479,4,13,481,731,1407,360,820,524,1558,904,1610,862,797,56,870,1258,1571,1358,1630,1585,893,612,868,1834,2315,917,76,1000,831,528,898,1000,98194,95952,4490,2759,1348,2461,1369,658,372,2486,997,2917,893,3704,1096,1282,468,412,488,484,427
Ktedonobacteria,115323,77180,47003,155995,95392,50622,146630,72977,35921,345379,140297,50072,266228,71261,26754,5223,4708,1471,1494,32104,30705,50685,49897,1337,1348,1741,1650,15739,2955,6508,2958,4937,2730,866,2992,1707,2294,331,1208,2905,1307,1789,21611,223,287,133,1317,801,1159,554,826,6,3,503,422,353,136,241,267,666,255,321,400,189,27,382,348,853,534,888,1182,265,165,309,649,440,120,10,492,650,127,292,139,12461,12383,1934,1806,960,1467,1046,1023,144,1031,436,4738,4290,6777,2553,2242,1487,1272,1949,1706,1929
Bacilli,50630,80434,61981,85236,146591,95570,50307,55280,62364,72412,124502,127124,111571,120959,120503,16947,15852,5425,5531,22850,21799,32990,34022,16657,16467,20967,19994,14905,15780,21760,22152,32067,29487,11462,27168,18600,20003,6617,8147,12962,15673,22543,22276,1915,1155,245,3146,1483,1805,1374,1273,6,7,999,1254,2022,683,1271,1718,2836,1683,2507,1898,1039,49,1528,1786,1740,1389,1578,2518,1503,690,1245,1586,1894,992,68,1195,1550,551,1760,1824,159964,157483,9487,7305,4259,7330,7634,13402,1436,8999,4004,6611,5521,15081,3151,3340,3582,3157,6165,6003,6181
Gemmatimonadetes <class>,18556,26525,22520,52260,56672,32473,20138,26173,22589,50081,79897,74445,89228,56805,84584,5369,4752,1616,1498,5421,5130,8394,8152,11370,10783,14775,14174,15101,12763,16617,22993,46103,34288,4391,41831,37190,28694,11163,4390,8136,12487,12503,17066,2572,3286,912,4918,3242,1536,2932,2109,14,15,2591,2793,6106,1363,3749,1536,4813,2241,4194,2885,3506,244,3794,4496,7956,5971,4895,7651,5557,2678,4068,2696,3985,3428,318,2812,3248,1539,3773,2642,59857,57132,42737,42688,21873,31829,18647,7779,3489,22591,9469,30641,25010,59006,15171,15776,10861,9532,38803,39162,39481
