,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Bradyrhizobiaceae,954896,711376,539990,794511,1291932,639321,693601,639979,375980,1556008,1164210,680764,1199184,928258,713822,531101,486102,161152,155377,311378,295687,543943,532501,455642,444053,548370,530578,383341,459876,34566,59639,83766,25215,5267,24498,8521,22648,9824,295526,465857,210215,186006,339879,23734,18684,4930,52194,22845,25548,28939,21863,132,155,18807,19458,34812,12338,19292,18142,46270,21447,36233,20564,15716,1528,24845,24923,29332,29106,25078,48436,24236,13368,22264,68012,49686,15892,1506,21552,22910,9743,22058,20117,1823535,1786018,47248,40531,20634,43037,49888,31049,4241,27893,11680,34289,20631,59750,17047,16045,10247,9361,13659,13532,14076
Streptomycetaceae,345528,254699,187419,437591,413630,198529,288186,173977,145403,583336,323922,269885,761766,395083,367103,43290,38927,12390,11960,58035,53881,82575,79506,36369,35906,46942,44560,41648,27845,65654,53549,107499,42783,104831,112311,101032,183021,23282,19979,28041,45576,37672,79308,7938,8329,1951,26665,9382,24808,12140,9637,44,38,6657,7247,7799,3580,4682,7974,13153,7863,10515,10824,4649,610,10085,8867,9089,7556,7043,17819,8163,3179,6599,7438,8235,3385,288,7468,9343,2345,6118,5584,169384,162643,61310,30957,15568,68758,73493,46174,4504,28783,11903,65310,25041,86117,20572,19953,64420,55656,8221,8062,8535
Mycobacteriaceae,253575,122644,83772,165283,259081,122178,117741,97830,62264,246953,179175,126052,284835,194683,179142,55387,50660,13041,12638,39675,38173,60653,58339,54577,52888,66591,64724,15892,30973,25494,23697,43612,17175,38232,52707,53197,82245,10062,49276,93664,39764,28224,41483,16519,11576,2160,31210,9641,11079,13494,10751,37,92,8579,8357,14063,5310,6435,13373,28977,15679,21920,16153,7798,751,11584,10816,11144,9619,6934,19466,10685,3570,8611,22437,19640,5922,504,11664,14463,4949,11948,11685,742955,718995,47688,26224,13174,40427,32273,28084,4246,26027,10813,27729,15544,44145,11992,11589,22331,19355,3989,4215,4112
Burkholderiaceae,144412,150086,90242,199547,294964,172832,102414,105319,106480,180462,290529,217858,219533,164229,173077,66185,60639,21185,20445,78275,74030,104562,102241,88340,86260,101042,97235,47455,50311,10761,16765,25595,30145,3088,23486,12690,15314,7064,47622,98302,29395,38315,98847,3418,2277,760,6127,3547,3544,3365,2548,30,14,2319,2691,5439,1278,3030,2380,7086,2787,4992,2495,2327,267,3549,4486,6529,4757,4507,6891,3552,2328,3366,6550,7856,2837,280,3505,3372,1355,3780,2813,121057,118595,8350,8624,4671,7820,18479,29947,1214,8603,3443,13597,12515,30049,6973,7201,7946,7205,12156,11970,12294
Solibacteraceae,71231,73910,49246,92440,148346,68150,63983,54276,35448,184868,174323,88954,158693,92877,63490,66813,59654,19454,18644,64440,61061,98253,95653,55512,54285,74258,71979,77908,41636,3040,7790,10231,11842,0,4320,1003,4111,643,16528,24877,14400,14111,122982,1449,1332,729,3950,2466,3551,3284,2206,16,14,2078,3304,2416,1050,2247,1723,4149,1611,3041,1389,1052,158,1500,1882,5065,3201,3414,3518,1943,1531,1886,5568,6691,1148,178,2414,1835,806,2189,1338,112073,108123,6868,5169,2615,5165,3792,4124,613,4250,1816,16501,13089,35526,7462,8784,3970,3564,5489,5450,5671
Acidobacteriaceae,243725,164816,100498,148774,269446,151996,171361,143081,74633,447953,338810,166312,219076,141959,112961,111273,101663,42804,41169,111736,105813,189681,183614,92422,88529,109817,106102,86686,88025,1410,5045,5837,13156,0,4904,1628,3733,0,25715,82861,13806,13823,182821,1056,1064,775,3162,1935,2562,1848,1814,10,6,1473,2265,1632,602,1351,1471,3212,1298,1802,1008,700,139,1427,1954,4104,2570,5484,3381,1546,1513,1935,10634,4741,863,143,3538,2174,676,2002,884,144623,141084,4083,3658,1709,3967,47556,150992,7048,43996,18162,28119,32722,79391,15911,19034,19104,17676,18373,18221,18840
Sphingomonadaceae,28514,30003,19330,46380,83986,43733,23264,21145,20579,50739,47185,33404,47017,43647,27811,23178,21729,6823,6834,17037,17071,24574,23831,73165,71972,94150,91055,10617,24761,61097,88722,209050,91380,3500,151910,20065,175864,125589,12683,30994,65230,28388,23096,3864,5656,1189,20394,5880,4891,6569,5918,32,19,3737,4038,9056,2135,4214,3319,5680,4268,7441,5058,6592,587,7895,11914,14465,12630,10831,18044,10080,5958,11886,3976,5260,7166,525,6690,8089,2928,7073,3827,97569,94906,57890,29744,14935,31720,25720,25618,7104,44197,18326,11179,7014,26678,6458,8575,3280,3007,5199,5034,4932
Solirubrobacteraceae,34280,34189,23549,61182,64212,19232,31100,27183,17621,24607,36911,34432,87960,73661,67258,2475,2149,780,717,2081,1881,3536,3411,4101,3948,5614,5270,3299,4109,31246,25365,47791,15809,72837,83663,78675,86445,3812,5423,6018,16304,8468,2873,8052,6053,944,16408,5976,4827,5908,4459,14,34,4516,4882,7216,3317,4139,5035,10388,5918,9268,6926,4246,328,6705,7144,3905,4458,3860,9161,6857,3235,5027,2502,5629,3842,337,4489,5334,1683,4412,6662,125976,118088,29192,24659,12317,31288,18406,6479,3719,22642,9625,34580,4608,21641,4792,8198,2051,1810,2358,2241,2408
Hyphomicrobiaceae,42732,49854,29880,61594,92993,48978,35723,45284,26593,56947,92668,80695,77067,70655,69611,24626,22758,7360,6890,15980,15184,27923,26945,31375,31218,44688,43312,22270,21838,6005,12130,17443,4472,0,4218,1699,3020,2897,22877,32170,20562,30154,49583,7071,3435,871,10965,5406,3967,4956,3574,38,20,3832,3536,9810,2322,4715,3871,11067,5980,10245,5492,3364,242,5959,7079,6530,4809,5326,9285,6436,3162,4062,8777,11990,4655,375,5879,5555,2725,5529,6322,337376,330049,24232,22645,12158,22221,22260,11068,2011,12688,5187,14020,8987,27217,6751,6587,5386,4944,7345,7270,7586
Chthoniobacteraceae,96386,50200,32525,35039,44505,30962,53603,44689,24053,51171,60515,50608,113919,104824,93818,41719,36716,9554,9081,52084,49760,74937,71358,25224,24291,29820,28360,5476,12710,4374,6900,8908,9821,0,25826,5547,28666,7344,11708,12532,21352,17694,4412,894,692,246,1117,862,503,1201,479,4,13,481,731,1407,360,820,524,1558,904,1610,862,718,56,870,1258,1571,1358,1630,1585,893,612,868,1728,2242,917,73,1000,831,507,898,1000,95040,92671,4490,2759,1348,2461,1369,658,372,2486,997,2917,893,3704,1096,1282,468,412,488,484,427
Phyllobacteriaceae,34005,44109,23705,52941,74175,40422,24883,29565,22903,41430,54661,42194,50747,40931,41024,29176,26426,8972,8336,22407,22097,32893,31228,23037,22081,30981,29816,10277,13740,10270,17112,24470,10074,5536,15150,6633,12840,10312,18831,25971,17784,18691,21935,3472,1574,343,5624,2133,2117,2180,1642,9,21,1499,1996,4352,794,1941,1477,4720,2714,4007,3159,1349,108,3448,3711,3389,2282,2261,4343,2268,1032,2171,2779,3623,1994,164,1947,2503,1110,2335,2385,114535,111951,22464,18387,9510,19673,17856,9513,1495,9032,3821,7377,7492,17639,4681,4717,3134,2610,3700,3764,3803
