,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Bradyrhizobium,936637,693205,526577,773918,1258915,619641,677782,623501,365210,1527411,1132643,661380,1169652,905331,697532,519713,474651,157744,152107,303356,286772,529464,518385,446832,435493,536510,518948,367993,447472,28911,52162,68138,20777,5267,20954,8521,20610,9090,287891,453311,202862,176277,323650,21751,17360,4609,48711,21261,24296,27508,20597,119,151,17457,18407,31952,11553,17864,16797,43173,19666,33196,18295,14517,1427,22337,22742,27506,27568,23192,44982,22384,12644,20813,64258,46123,14516,1372,20053,20790,8912,20286,18334,1724385,1688441,39294,34904,17617,35740,39020,23769,3697,24373,10371,30390,17827,51991,14907,14058,8449,7584,11117,11125,11253
Streptomyces,324722,239607,179592,411892,390904,190672,271284,166688,139303,547327,308923,257774,720781,375897,352929,41591,37483,11967,11543,56189,52207,79887,76983,36369,35906,46942,44560,39374,26255,64372,52963,106514,42783,102779,109596,98547,178754,23282,19260,26651,44093,36441,68549,7711,8005,1849,25507,8788,24220,11698,9037,44,38,6295,6875,7388,3410,4482,7528,12520,7570,10130,10520,4470,600,9633,8482,8559,7159,6535,17017,7822,3015,6282,6605,7434,3322,256,6835,8980,2203,5867,5315,154695,148330,59047,30378,15276,66272,69277,40556,4366,27999,11562,59150,22725,77730,18684,18060,55645,48017,7724,7675,8152
Mycobacterium,253575,122644,83772,165283,259081,122178,117741,97830,62264,246953,179175,126052,284835,194683,179142,55387,50660,13041,12638,39675,38173,60653,58339,54577,52888,66591,64724,15892,30973,25494,23697,43612,17175,38232,52707,53197,82245,10062,49276,93664,39764,28224,41483,16519,11576,2160,31210,9641,11079,13494,10751,37,92,8579,8357,14063,5310,6435,13373,28977,15679,21920,16153,7798,751,11584,10816,11144,9619,6934,19466,10685,3570,8611,22437,19640,5922,504,11664,14463,4949,11948,11685,742955,718995,47688,26224,13174,40427,32273,28084,4246,26027,10813,27729,15544,44145,11992,11589,22331,19355,3989,4215,4112
Burkholderia,102046,104767,64357,139035,197729,110605,70544,74575,73348,128016,204736,148822,163530,120159,128755,43664,39442,13934,13574,53413,51825,65471,65179,61433,60055,69668,68156,28933,29483,7707,10946,16393,20001,3088,14445,8191,15314,4421,28397,62963,17894,19689,70109,1783,1255,360,3270,2050,1946,2057,1479,20,7,1181,1533,2774,540,1504,1256,3681,1394,2599,1225,1175,169,1847,2259,3478,2414,2500,3665,1759,1133,2037,3189,3852,1478,143,2083,1609,752,2080,1358,68484,66948,6005,5582,2829,4961,10835,17636,843,6177,2292,8691,8113,20097,4176,4143,5289,4441,7290,7565,8162
Candidatus Solibacter,71231,73910,49246,92440,148346,68150,63983,54276,35448,184868,174323,88954,158693,92877,63490,66813,59654,19454,18644,64440,61061,98253,95653,55512,54285,74258,71979,77908,41636,3040,7790,10231,11842,0,4320,1003,4111,643,16528,24877,14400,14111,122982,1449,1332,729,3950,2466,3551,3284,2206,16,14,2078,3304,2416,1050,2247,1723,4149,1611,3041,1389,1052,158,1500,1882,5065,3201,3414,3518,1943,1531,1886,5568,6691,1148,178,2414,1835,806,2189,1338,112073,108123,6868,5169,2615,5165,3792,4124,613,4250,1816,16501,13089,35526,7462,8784,3970,3564,5489,5450,5671
Candidatus Koribacter,142279,91142,52113,84138,139567,84523,100859,79895,40382,277516,203699,93154,128384,81103,68642,33338,29731,12420,11684,43100,40936,74140,71483,18173,17187,22508,21909,45553,33220,846,1833,2157,5778,0,2001,756,1850,0,6809,24226,4474,5525,104306,368,473,416,1452,869,1343,920,896,5,4,638,1107,628,247,609,685,1276,490,601,341,243,68,495,867,2124,1245,2839,1271,645,812,944,4981,1953,315,57,1691,842,249,909,316,78103,76332,1716,1374,785,1392,2322,8736,445,2891,1273,19388,23612,54653,10817,13340,10418,9662,12295,12284,12837
Sphingomonas,15569,14576,9145,24738,41809,20275,12855,10399,9036,28447,22548,16467,28983,29286,17651,14373,13444,3984,3836,10141,9860,14292,13916,56322,55211,74173,71700,5960,18114,50666,75988,174910,82229,3500,138756,16520,157179,102693,9249,21976,56088,22897,12346,2808,4788,1030,17567,4037,4377,5542,5244,23,19,3141,3426,6967,1665,3297,2815,4255,3341,5920,3967,5483,470,6407,9850,12542,11050,9293,15709,8791,5201,10373,2782,3575,5754,424,5676,6686,2383,5949,2858,57444,56171,48380,20335,10158,24554,16113,15278,6218,39329,16269,6019,3554,13852,3400,6085,1923,1551,2357,2064,2094
Solirubrobacter,34280,34189,23549,61182,64212,19232,31100,27183,17621,24607,36911,34432,87960,73661,67258,2475,2149,780,717,2081,1881,3536,3411,4101,3948,5614,5270,3299,4109,31246,25365,47791,15809,72837,83663,78675,86445,3812,5423,6018,16304,8468,2873,8052,6053,944,16408,5976,4827,5908,4459,14,34,4516,4882,7216,3317,4139,5035,10388,5918,9268,6926,4246,328,6705,7144,3905,4458,3860,9161,6857,3235,5027,2502,5629,3842,337,4489,5334,1683,4412,6662,125976,118088,29192,24659,12317,31288,18406,6479,3719,22642,9625,34580,4608,21641,4792,8198,2051,1810,2358,2241,2408
Rhodoplanes,37839,40535,24423,49744,72593,38236,31200,38113,20475,49310,76681,63753,63000,55715,53201,20603,18886,5981,5696,13282,12760,23834,22809,23844,23818,35068,34076,19359,18775,2842,6596,8817,2065,0,1408,0,0,0,19531,26058,16402,26390,40654,5068,2086,560,6441,3284,2794,3026,2399,26,7,2641,2692,5834,1504,2980,2637,7603,3874,6876,3890,2347,135,3482,4681,4076,3264,3528,5554,4078,2203,2489,7217,9755,2824,279,3861,3665,1916,3972,3953,203156,197730,11007,10323,5400,11923,15272,8037,989,6517,2799,9197,5928,16301,4162,4435,3852,3388,5462,5424,5733
Chthoniobacter,96386,50200,32525,35039,44505,30962,53603,44689,24053,51171,60515,50608,113919,104824,93818,41719,36716,9554,9081,52084,49760,74937,71358,25224,24291,29820,28360,5476,12710,4374,6900,8908,9821,0,25826,5547,28666,7344,11708,12532,21352,17694,4412,894,692,246,1117,862,503,1201,479,4,13,481,731,1407,360,820,524,1558,904,1610,862,718,56,870,1258,1571,1358,1630,1585,893,612,868,1728,2242,917,73,1000,831,507,898,1000,95040,92671,4490,2759,1348,2461,1369,658,372,2486,997,2917,893,3704,1096,1282,468,412,488,484,427
