,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Rhizobiales,1111021,881021,642378,977309,1575810,792561,806827,773724,462494,1750500,1422585,886690,1436705,1120268,882801,654668,600670,197945,190913,400202,381730,681351,665883,555955,542952,682970,661794,457254,530811,146029,163234,320142,57777,19770,64677,25543,57220,31362,364805,568770,281894,275178,470917,41335,29493,7045,79780,35296,35960,40683,31534,208,217,27593,28744,56693,18082,29397,28084,73110,36323,59539,35485,24583,2160,40465,41782,44766,40476,38000,71029,39815,19863,33357,88596,76546,26742,2367,35105,36331,16451,35281,34770,2557890,2500184,133430,114392,59006,123923,142792,70127,10568,67082,27830,76212,53471,147456,38967,38420,25181,22695,35181,35985,36932
Streptomycetales,345528,254699,187419,437591,413630,198529,288186,173977,145403,583336,323922,269885,761766,395083,367103,43290,38927,12390,11960,58035,53881,82575,79506,36369,35906,46942,44560,41648,27845,65654,53549,107499,42783,104831,112311,101032,183021,23282,19979,28041,45576,37672,79308,7938,8329,1951,26665,9382,24808,12140,9637,44,38,6657,7247,7799,3580,4682,7974,13153,7863,10515,10824,4649,610,10085,8867,9089,7556,7043,17819,8163,3179,6599,7438,8235,3385,288,7468,9343,2345,6118,5584,169384,162643,61310,30957,15568,68758,73493,46174,4504,28783,11903,65310,25041,86117,20572,19953,64420,55656,8221,8062,8535
Corynebacteriales,292862,154766,108808,218657,328241,156717,154035,121093,85284,313463,233947,173907,395846,260606,260337,60626,55799,14576,14319,47377,45772,72258,69750,59898,58322,73463,71182,23952,36237,40485,35682,64281,28430,68118,86007,93749,135704,17512,53394,99446,49779,36327,53905,19129,13786,2625,36861,11820,13502,16562,12945,43,104,10011,10095,16335,6304,7751,15223,32896,17951,25167,18572,9182,918,13925,13322,13619,11590,9039,23067,12816,4388,10565,24807,22744,7122,604,13667,16705,5746,13826,13764,844365,816846,65362,34630,17423,60026,51087,40681,5664,33849,14228,41764,21581,62948,16447,16764,34159,29677,5629,5818,5747
Burkholderiales,195721,257128,155823,341538,567823,324896,168838,173952,217848,282698,536857,509752,412981,369736,404799,108304,104703,34413,32987,116982,111535,159820,156149,206402,200705,240926,233310,121598,92839,41613,52552,97063,90861,3088,80678,39163,72329,105868,73663,125511,87156,77653,135317,11672,9785,2707,22044,10804,8735,15286,8797,65,46,6962,8928,22529,4780,10879,6290,19318,9911,17798,8740,10650,842,14733,16989,25207,19332,17975,26137,16411,8819,15789,13387,24404,12854,1092,9372,11053,7081,13436,10002,458410,445994,44456,32450,15711,23241,39864,61137,4983,33539,13970,32278,33311,72402,18261,19981,17913,15921,28721,28828,29205
Solibacterales,80584,83718,56780,105284,172218,78376,72164,62068,40570,206806,196182,101374,178146,105794,73085,71610,64083,21090,20244,69189,65539,105981,103396,60753,59464,81315,78743,83492,46253,4567,11478,15872,15249,0,5986,1365,6401,1434,18096,27889,16751,16126,130859,1809,1617,814,4467,2788,3845,3669,2477,21,14,2267,3619,3023,1254,2623,1931,4783,1972,3644,1710,1275,179,1816,2249,5646,3634,3891,4046,2306,1749,2208,6240,7357,1464,217,2694,2117,964,2522,1680,132415,127775,9616,7199,3710,7119,5044,5014,819,5564,2408,18445,14643,40344,8499,9915,4838,4337,6606,6527,6712
Acidobacteriales,243725,164816,100498,148774,269446,151996,171361,143081,74633,447953,338810,166312,219076,141959,112961,111273,101663,42804,41169,111736,105813,189681,183614,92422,88529,109817,106102,86686,88025,1410,5045,5837,13156,0,4904,1628,3733,0,25715,82861,13806,13823,182821,1056,1064,775,3162,1935,2562,1848,1814,10,6,1473,2265,1632,602,1351,1471,3212,1298,1802,1008,700,139,1427,1954,4104,2570,5484,3381,1546,1513,1935,10634,4741,863,143,3538,2174,676,2002,884,144623,141084,4083,3658,1709,3967,47556,150992,7048,43996,18162,28119,32722,79391,15911,19034,19104,17676,18373,18221,18840
Sphingomonadales,28514,30003,19330,46380,83986,43733,23264,21145,20579,50739,47185,33404,47017,43647,27811,23178,21729,6823,6834,17037,17071,24574,23831,75511,74186,97417,94199,10617,24761,62951,92621,217280,93093,3500,154567,20065,179013,141898,12683,32276,68401,29606,25538,4979,6194,1286,23364,6956,5387,7260,6454,34,21,4217,4434,13472,2635,5258,3821,6988,5288,9156,5934,7855,642,10707,15813,16382,14941,12280,20535,11826,7064,13842,4246,6555,9772,718,7786,9714,3504,8422,5775,114394,111282,68029,37444,18474,38762,30627,25618,8013,50145,20769,14559,9099,33957,7855,10324,3280,3007,5199,5732,4932
Solirubrobacterales,69710,69410,47970,136235,129626,35550,65296,58867,33148,43324,71114,65538,171616,147538,123383,3567,3123,780,717,2879,2628,4862,4689,5940,5671,8306,7870,7011,8088,54180,43329,83261,29801,193280,196050,180185,220488,9092,8016,9425,23310,12295,5349,11066,8210,1302,22015,8251,7114,7825,6545,16,53,6163,6787,9004,4268,5319,6989,14140,8002,12629,9495,5745,441,8555,9132,5519,5844,5336,12192,8847,4118,6607,3940,7698,4739,448,6040,7010,2398,6061,8558,210959,198062,46585,37757,18886,49788,32898,13090,5563,34374,14746,41733,6961,28651,6447,10675,3259,3026,4282,4330,4489
Chthoniobacterales,96386,50200,32525,35039,44505,30962,53603,44689,24053,51171,60515,50608,113919,104824,93818,41719,36716,9554,9081,52084,49760,74937,71358,25224,24291,29820,28360,5476,12710,4374,6900,8908,9821,0,25826,5547,28666,7344,11708,12532,21352,17694,4412,894,692,246,1117,862,503,1201,479,4,13,481,731,1407,360,820,524,1558,904,1610,862,718,56,870,1258,1571,1358,1630,1585,893,612,868,1728,2242,917,73,1000,831,507,898,1000,95040,92671,4490,2759,1348,2461,1369,658,372,2486,997,2917,893,3704,1096,1282,468,412,488,484,427
Ktedonobacterales,86916,57453,35673,121896,70354,37104,111384,55553,25795,264686,103952,36750,203901,55209,19963,4392,3941,1248,1288,25990,24630,39812,39445,1337,1348,1741,1650,11549,2331,6093,2607,4433,2386,866,2616,1707,2294,331,991,2465,1053,1403,16199,171,239,101,998,620,845,436,643,6,3,398,347,261,113,191,203,511,200,244,304,189,25,285,257,630,399,635,855,190,105,217,522,337,88,10,358,497,104,225,103,10091,9934,1625,1507,960,1467,778,675,111,1031,326,3462,3112,4989,1870,1601,1110,920,1500,1356,1574
