,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
Proteobacteria,1586835,1417290,992392,1658007,2692751,1428391,1184326,1151036,853673,2494095,2547651,1832963,2312306,1849639,1603575,1043775,967487,315513,303596,735725,702880,1167283,1146888,1148313,1125578,1412800,1372340,753835,796135,347925,435991,861846,381137,75145,396842,170892,411111,463554,549682,885986,551782,510550,916679,83362,66258,16468,171223,78202,66062,88680,64062,407,389,59187,60886,141256,36757,69711,51157,138404,72370,121995,73109,61844,5197,104443,114685,132906,109924,101996,179812,97477,52901,92366,133074,149646,74360,6235,71115,82088,39182,84438,74872,4075692,3978438,464240,406463,206554,376429,505322,569673,46824,295204,120158,255119,220810,580091,147882,142006,118008,106973,199366,203521,204943
Actinobacteria <phylum>,1078543,718537,512719,1267513,1304702,594161,833564,504727,404817,1603397,948832,755645,2350026,1305734,1233249,146628,130637,34309,33244,158867,146486,229332,222089,159181,156556,201673,192963,144987,110387,521486,386460,802962,193118,696021,823289,683336,1071864,120092,118911,180444,266418,153998,228779,78669,73650,14210,216245,72952,92205,92737,69930,252,387,48510,58118,82452,31955,47539,59147,114957,73400,103559,73814,46460,4758,83323,76750,69850,61731,55227,128793,73799,30325,64580,56753,72718,40293,3257,56440,67338,22712,52952,63333,2042199,1954721,545983,308033,155000,566958,487464,241232,50253,305019,130784,378078,129722,438803,111198,123009,230462,204636,34253,34951,35727
Acidobacteria,333959,270356,172374,285504,487057,249963,255202,221242,130692,682923,587734,307012,524581,338362,285635,185305,168116,64596,62100,185854,176040,304553,295763,156066,150762,194823,188400,175543,151016,30733,56968,83929,259790,357,32251,11423,45439,6580,47626,117595,42596,43425,320555,4029,3691,1738,8867,5746,6967,6516,4834,39,26,4714,6948,7645,2440,6186,3980,10066,4486,8062,3755,3231,367,4404,5478,11363,8498,12083,9661,5763,4146,5578,18220,14118,3810,501,7255,5121,2250,5940,3737,313725,304182,23648,17090,8560,20325,57813,157767,9310,59191,24474,50313,50749,128401,26334,30933,26063,23922,29265,29097,29700
Verrucomicrobia,154322,87861,60154,88975,97506,63285,90042,75947,45209,118399,130230,96349,201866,178944,155226,82927,73861,21465,20327,92999,88248,136598,132274,58479,56559,70960,68494,28014,42883,9532,16840,20495,28612,0,43748,11570,49427,30475,27688,36018,42122,40569,29277,4018,2622,852,4693,4125,2338,4971,1970,19,15,2096,3215,7183,1800,4299,2045,7151,4184,7549,3778,2835,191,3965,5556,7936,5212,6844,6655,4098,2835,3809,6476,9086,3826,392,4168,3681,2310,4512,4029,233188,226518,25646,18040,9526,14771,11481,4804,2305,15061,6316,14369,8151,33573,8203,8534,5934,5233,6474,6098,6347
Chloroflexi,121898,90655,56493,171839,123622,68937,153614,82952,46735,356918,163273,77032,292016,99289,57148,5717,5192,1471,1494,35291,33662,55725,54844,1337,1348,1741,1650,19699,5448,25779,18670,23227,16963,5727,15891,9893,13358,3922,2710,4817,5411,8119,25629,1581,2065,291,3688,2017,2116,2394,1664,7,10,1421,1981,3566,861,1988,1201,3593,1823,2827,1906,1620,72,1937,1808,2710,2349,2580,3653,2313,801,2190,1302,2269,1561,103,1378,1832,774,1493,1339,42304,41500,23784,18282,9610,17011,9016,4009,1739,11913,5103,18475,21399,52519,12716,11414,16378,14510,36130,37597,37794
Firmicutes,57855,90931,79668,96468,187957,123881,57285,62856,74041,83042,165477,154214,126637,135772,133966,19656,18397,6524,6224,26134,24729,41516,38597,20782,20564,25740,24265,19468,18190,27577,27530,39172,37474,12300,36163,23712,23060,8440,9407,14872,17329,26085,28665,2304,1342,324,3442,1957,2121,1521,1396,8,8,1335,1386,2645,897,1770,1877,3708,2136,3367,2344,1366,65,1718,2308,2014,1575,1767,2763,1707,901,1423,2152,2615,1123,102,1464,1668,695,1974,2371,180594,177866,10893,9629,5520,8536,10268,31797,2250,14173,6196,9392,9192,25684,4327,5149,7858,6795,12486,12862,12737
Gemmatimonadetes,18556,26525,22520,52260,56672,32473,20138,26173,22589,50081,79897,74445,89228,56805,84584,5369,4752,1616,1498,5421,5130,8394,8152,11370,10783,14775,14174,15101,12763,16617,22993,46103,34288,4391,41831,37190,28694,11163,4390,8136,12487,12503,17066,2572,3286,912,4918,3242,1536,2932,2109,14,15,2591,2793,6106,1363,3749,1536,4813,2241,4194,2885,3506,244,3794,4496,7956,5971,4895,7651,5557,2678,4068,2696,3985,3428,318,2812,3248,1539,3773,2642,59857,57132,42737,42688,21873,31829,18647,7779,3489,22591,9469,30641,25010,59006,15171,15776,10861,9532,38803,39162,39481
Bacteroidetes,69126,32459,21976,127840,143803,54679,66032,25189,38198,72732,116584,54443,182732,134833,52038,50668,47779,19237,18814,21135,19482,33162,32692,220646,221784,288333,284964,64473,105549,86892,114580,210002,332179,634178,225399,121886,261299,592629,32205,44411,116260,39221,31704,4650,4892,1445,9172,4643,2530,7219,3285,45,10,2601,3318,12405,2306,5290,2027,7136,4361,8256,3850,5555,370,8899,9817,13703,9601,11471,11835,7829,3494,7826,4753,8227,7772,617,4239,5411,3447,6356,4834,390276,393385,70995,52507,29784,32433,18825,4163,6603,40377,17860,19630,14821,46223,12776,16303,7025,6265,9650,10234,10381
Planctomycetes,103743,100683,68083,99096,189488,107379,72970,75380,62827,126398,142741,129252,144625,122729,102472,107143,95457,25285,23878,44158,41845,81026,78672,87618,84667,92843,88796,25238,27679,20161,34120,48069,27853,783,38940,11262,26934,17952,25159,41864,21413,22831,37400,6557,4602,1077,8696,5121,4567,5816,3667,23,33,2973,4515,8508,2294,4469,3653,10596,5803,10506,4761,3554,251,4634,5893,6648,4408,5311,7102,5241,2479,4549,5338,7051,4821,312,3540,3897,2154,5066,4967,238617,230334,47229,57246,29566,39762,21575,3738,3202,19363,8195,8762,7400,19036,6306,5496,2619,2210,4530,4699,4723
Nitrospirae,3937,8456,5969,5851,9343,7598,3493,5891,6731,10788,29133,21867,14584,15662,31587,2062,1939,646,636,3007,2925,4430,4454,1376,1284,1670,1665,2850,2079,3025,5431,7741,7959,387,5573,1284,4642,1238,1136,2253,3018,13105,11870,1497,813,160,1831,1416,542,873,641,1,8,722,971,3313,778,1761,833,2810,1243,2208,1341,1074,62,1487,1372,2408,1949,1546,2512,1789,874,1582,2138,2685,1622,140,1025,1244,820,1950,1418,57354,56599,2648,4788,2337,2313,1933,2698,354,2148,916,6906,7902,19206,4835,4612,2078,1807,4769,4974,5036
