,G1-Ah,G1-Bw,G1-Cox,G11-Ah,G11-Bw,G11-Cox,G2-Ah,G2-Bw,G2-Cox,G3a-Ah,G3a-Bw,G3a-Cox,G9-Ah,G9-Bw,G9-Cox,Ah-1-1,Ah-1-2,Ah-2-1,Ah-2-2,II-P-1-1,II-P-1-2,II-P-2-1,II-P-2-2,Of-1-1,Of-1-2,Of-2-1,Of-2-2,arctic_tundra_TL1,boreal_forest_BZ1,hot_desert_MD3,hot_desert_SF2,hot_desert_SV1,polar_desert_EB017,polar_desert_EB019,polar_desert_EB020,polar_desert_EB021,polar_desert_EB024,polar_desert_EB026,temeprate_coniferous_forest_DF1,temeprate_deciduous_forest_CL1,temeprate_grassland_KP1,tropical_forest_AR3,tropical_forest_PE6,2012_10_Soy_No,2012_11_Corn_Yes,2012_12_Soy_Yes,2012_13_Corn_Yes,2012_14_Soy_Yes,2012_15_Corn_Yes,2012_16_soy_Yes,2012_17_Corn_Yes,2012_18_soy_Yes,2012_19_Corn_Yes,2012_1_corn_No,2012_20_Soy_Yes,2012_2_Soy_No,2012_3_corn_No,2012_4_Soy_No,2012_5_Corn_No,2012_6_Soy_No,2012_7_corn_No,2012_8_Soy_No,2012_9_Corn_No,2013_11_Soy_Yes,2013_12_Corn_Yes,2013_13_Corn_Yes,2013_14_Corn_Yes,2013_15_Soy_Yes,2013_16_Corn_Yes,2013_17_Soy_Yes,2013_18_Corn_Yes,2013_19_Soy_Yes,2013_1_Soy_No,2013_20_Corn_Yes,2013_23_forest,2013_24_forest,2013_2_Corn_No,2013_3_Soy_No,2013_5_Soy_No,2013_6_Corn_No,2013_7_Soy_No,2013_8_Corn_No,2013_9_Soy_No,ERR1104480.fastq.gzaligned,ERR1104481.fastq.gzaligned,ERR476938_1.fastq.gzaligned,ERR476939_1.fastq.gzaligned,ERR476940_1.fastq.gzaligned,ERR476941_1.fastq.gzaligned,ERR476942_1.fastq.gzaligned,ERR476943_1.fastq.gzaligned,ERR476944_1.fastq.gzaligned,ERR476945_1.fastq.gzaligned,ERR476946_1.fastq.gzaligned,ERR481108_1.fastq.gzaligned,ERR481109_1.fastq.gzaligned,ERR481110_1.fastq.gzaligned,ERR481111_1.fastq.gzaligned,ERR481112_1.fastq.gzaligned,ERR515173_1.fastq.gzaligned,ERR515174_1.fastq.gzaligned,ERR515176_1.fastq.gzaligned,ERR515177_1.fastq.gzaligned,ERR515178_1.fastq.gzaligned
(2E_6E)-farnesyl diphosphate synthase (EC 2.5.1.10),1,8,6,7,8,6,5,2,3,12,4,7,14,13,9,0,0,0,1,3,1,3,3,1,3,9,6,1,2,0,2,3,9,1,0,1,1,1,1,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,14,1,3,0,2,4,2,1,1,2,0,2,2,2,1,1,0,3,3,1
(2E_6Z)-farnesyl diphosphate synthase (EC 2.5.1.68),79,23,5,68,22,9,66,14,6,142,34,17,185,48,18,14,12,2,3,11,8,13,19,11,9,18,13,18,11,25,14,37,8,46,45,22,59,13,7,9,11,9,28,3,2,0,19,5,9,9,1,0,0,4,7,6,0,1,5,6,5,5,2,2,0,6,3,1,4,1,11,5,3,3,10,3,2,1,8,6,1,3,2,107,111,45,23,12,43,38,23,5,20,3,42,4,28,10,9,26,20,1,2,1
(3R)-hydroxyacyl-ACP dehydratase subunit HadA,5,2,0,0,3,3,0,0,1,8,1,0,2,3,1,1,2,0,0,1,2,0,0,1,0,1,1,1,3,0,1,2,0,0,0,0,0,0,6,3,1,0,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,42,40,1,1,0,0,2,0,1,0,0,0,0,3,1,0,0,0,0,0,0
(3R)-hydroxyacyl-ACP dehydratase subunit HadB,7,6,3,3,12,8,2,5,4,5,0,5,6,10,2,3,2,1,1,4,3,3,1,5,4,4,1,3,2,1,1,4,0,0,0,0,0,0,3,7,2,1,0,0,1,1,3,2,1,2,1,0,0,0,1,1,0,1,1,2,2,2,0,0,0,1,2,1,0,1,2,0,2,3,2,2,0,0,0,0,1,2,3,55,59,2,1,2,5,2,0,0,0,1,0,0,2,1,0,1,0,0,0,0
(3R)-hydroxyacyl-ACP dehydratase subunit HadC,1,0,0,1,3,1,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,0,1,0,0,2,0,0,0,0,0,0,4,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
(GlcNAc)2 ABC transporter_ ATP-binding component 1,4,5,7,2,9,7,3,3,2,14,10,4,10,8,3,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,2,3,0,5,1,1,1,1,2,0,3,3,6,0,1,0,1,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,4,1,0,2,1,1,8,0,3,0,0,1,5,1,1,2,5,3,2,2
(GlcNAc)2 ABC transporter_ ATP-binding component 2,0,0,0,0,5,0,2,0,0,5,1,0,6,2,5,0,2,0,0,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,1,0,1,2,0,0,1,2,1,1,2,0,1,1,0,0,1
(GlcNAc)2 ABC transporter_ periplasmic substrate-binding protein,7,3,3,7,8,7,6,1,2,9,6,3,9,2,6,3,3,0,0,2,1,4,1,1,1,3,2,0,1,1,2,0,1,7,0,1,2,0,1,1,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,8,2,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
(GlcNAc)2 ABC transporter_ permease component 2,10,5,2,7,12,5,10,5,4,21,7,2,26,4,3,1,0,0,0,2,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,12,2,0,2,1,0,0,0,0,1,1,2,2,0,0,1,1,1,2,0
(R)-2-hydroxyacid dehydrogenase_ similar to L-sulfolactate dehydrogenase (EC 1.1.1.272),125,148,71,162,248,122,83,103,77,214,193,138,225,161,126,79,67,20,19,54,47,69,63,68,71,88,81,48,27,23,21,38,7,7,9,10,7,4,13,16,12,17,35,0,2,1,5,2,2,1,2,0,0,1,1,7,1,4,1,6,2,6,2,5,1,6,6,3,7,1,5,2,4,4,5,5,2,1,2,1,0,3,1,268,262,35,32,13,22,27,18,3,23,12,23,23,46,16,10,7,6,10,10,13
