,Group.1,G11A.1.dna,G11A.2.dna,G11A.3.dna,G11A.4.dna,G11A.5.dna,G11B.1.dna,G11B.2.dna,G11B.3.dna,G11b.4.dna,G11B.5.dna,G11C.1.dna,G11C.2.dna,G11C.3.dna,G11C.4.dna,G11C.5.dna,G1A.1.dna,G1A.2.dna,G1A.3.dna,G1A.4.dna,G1A.5.dna,G1B.1.dna,G1B.2.dna,G1B.3.dna,G1B.4.dna,G1B.5.dna,G1C.1.dna,G1C.2.dna,G1C.3.dna,G1C.4.dna,G1C.5.dna,V10A.1.dna,V10A.2.dna,V10A.3.dna,V10A.4.dna,V10A.5.dna,V10B.1.dna,V10B.2.dna,V10B.3.dna,V10B.4.dna,V10B.5.dna,V10C.1.dna,V10C.2.dna,V10C.3.dna,V10C.4.dna,V10C.5.dna
1,Abiotrophia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070222120784028,0.00770193534847591,0.00450901860082898,0.0125911956165381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Absidia,0.100711339123732,0.29941605341487,0.205321414913479,0.186803590521398,0.30926233,0,0.5694585,0.5815272,0.283084493935486,0.2005747,0,0.2509908,0.04706416,0.311806958898428,0.3589348,0.157999771607258,0.103976126507473,0.135270549218238,0.109123699726792,0.154740140793113,0.209093701549665,0.0388248434271714,0.229801503851032,0.15489392,0.0875099881712749,0.274700027124911,0,0.182949036485288,0.0903128,0.155786110344081,0.0715711578391252,0.0706745437572459,0.246833142927036,0.219268405259615,0.636437290214885,0,0.07457038,0.08385812,0.500671140138963,0.079770745259783,0.07012256,0.08511372,0.165134128004434,0,0.195565983396941
3,Acanthamoeba,0.184637455618659,0.369047656049889,0.22243152616196,0.297876063342363,0.218004670014069,0.564133310772448,0.265747333393548,0.211464419704579,0.530783449677431,0.04011495,0.181895685198108,0.209159004751356,0.23532080347695,0.267263126695284,0.681976047852608,0.0772443327056252,0.127081934878663,0.0991984096174087,0.138503151370893,0.164411399618476,0.0836374810331102,0.194124217135857,0.045960300962758,0.65829914555712,0.306284960428187,0.103012513874987,0.0332644670160855,0.0609830132426442,0.225782009442095,0.350518748274182,0.127805637460864,0.179404612422098,0.335693115862178,0.288181313272435,0.212145760385606,0,0.298281524170647,0,0.1072867,0.319082985779349,0.175306397611659,0.723466625208122,0.330268224035468,0.486942684568802,0.440023347175529
4,Acaricomes,0.184637460541576,0.174079069025428,0.141158471610655,0.0858286978890848,0.0811180103587345,0.161180940514965,0.151855614036129,0.158598329113737,0.141542255741945,0.120344840920969,0.181895675990542,0.0836636023756782,0.0470641611589832,0.0890877088984278,0.0717869562027689,0.407288300547363,0.254163866151229,0.252505042045594,0.226641525070122,0.111219478840941,0.16727496206622,0.155299373708686,0.091920601925516,0.116170445897797,0,0.0686750077499746,0.166322334032171,0.0304915066213221,0.0903128047210477,0,0.051122256595648,0.157658599422099,0.167846554390554,0.194209146142627,0.123340561498262,0.0779468062933004,0.0372851906951078,0.167716248928817,0.250335555069482,0.119656117889675,0.245428957014574,0.127670581302031,0.206417640022168,0.0486942680711003,0.04889148
5,Acaryochloris,0.223802973685598,0.414308218707435,0.658739528713265,0.535167172410483,0.461358683076203,0.52383801,0.151855609357419,0.528661019409158,0.990795769677431,0.481379351841937,0.3637914,0.376486201187839,0.47064156,0.668157828898428,0.753763037216613,0.719776696508161,0.539135454128515,0.6628257594572,0.721895193220508,0.580275548777535,0.794556105682107,0.970621046854343,0.505563303851032,0.348511323931865,0.962609848599462,0.961450083624759,0.299380197016086,0.548847143242644,0.4064076,0.623144405172041,0.454988088486955,0.239206163317934,0.562779629894607,0.557568191213941,0.424291532080147,0.46768082,0.18642599,0.46121962,0.393384510138963,0.39885373,0.56098046,0.08511372,0.12385059,1.80168791791971,0.09778297
6,Acetabularia,0,0,0,0.01009749,0,0.2014762,0,0,0,0,0.03637914,0,0,0,0,0.01404442,0.02310581,0,0,0,0,0.03882484,0,0,0,0,0,0,0,0,0.01533668,0.01630951,0.004936663,0,0,0.0389734,0.03728519,0,0,0,0,0,0,0,0
7,Acetanaerobacterium,0.179042387371196,0.306379174146766,0.346479878713265,0.146413654085591,0.147026393420868,0.08059047,0.0759278046787096,0.317196619409158,0.07077112,0.120344843947312,0.327412225990542,0.209159003563517,0,0.178175454449214,0.107680432405538,0.684665661372049,0.64696260578004,1.19038061382321,0.843610104729219,0.604453624507244,1.505474644649,0.660022357698885,0.919206005776548,0.619575635727459,0.175019994085637,0.583737530999899,1.33057867628954,1.46359224566909,0.857971614163143,0.817877080688162,0.276060210704341,0.244642653179345,0.33569316537434,0.288181317142627,0.76471141421836,0.1169202062933,0,0.125787182232204,0.286097835069482,0,0.07012256,0.04255686,0.04128353,0.633025476497702,0.0977829633969412
8,Acetitomaculum,0.0615458201805253,0.027852655365948,0.00855505863782626,0.01009749,0,0.0805904702574825,0.07592781,0.0528661097045789,0,0,0.181895675594325,0.0836636,0.09412832,0.08908771,0,0.249288530665695,0.0847212844166175,0.288577190247252,0.0671530416441016,0.0870413323648541,0,0,0.229801502888274,0.03872348,0,0.137350011624962,0.0665289370160855,0.09147452,0.180625609442095,0.311572255172041,0.255611278599978,0.347936247890394,0.148099900406768,0.225533200895832,0.0641370899709671,0.07794681,0,0.0838581244644086,0.2145734,0,0.105183838208744,0.12767058086802,0.247701156008867,0.09738854,0
9,Acetivibrio,0.14547194,0.184523811341487,0.342202339567394,0.22214481784629,0.420799641889802,0.12088571,0.0759278046787096,1.26878630970458,0.318470077870972,1.60459789,0.10913741,0.1673272,0.0941283211589832,0.668157804449214,0.789656484811075,0.565288054,0.747087771348476,0.527555126,0.85620133,0.730180087825362,1.33819922,0.5823727,0.6434442,0.697022663931865,0.48130489,0.2403625,0.3659091,0.2439321,0.6321896,0.03894653,0.250499035569557,0.309880692543476,0.404806320967571,0.413477545259615,0.631503661800245,0.1169202062933,0.671133481390216,0.293503382232204,0.464908922743186,0.2393122,0.07012256,0.34045484043401,0.412835288004434,0.53563697,0.977829633969412
10,Acetoanaerobium,0.05595074,0.09052112,0.11549329,0.0858287,0.07604813,0.1208857,0.1518556,0.26433051,0.07077113,0.12034484,0,0.0836636,0.32944914,0.1781754,0,0.077244332,0.25031285,0.067635277,0.25602098,0.27079522,0.08363748,0.3494236,0.2757618,1.820004,1.18138499,0.20602501,0.1330579,1.06720301,0.5418768,0.1947326,0.046010026,0.07611105,0.07404995,0.06264812,0.07893796,0,0.03728519,0,0.1430489,0.07977075,0,0.08511372,0,0.09738854,0.09778296
