,Group.1,G11.1.rna,G11.2.rna,G11.3.rna,G11.4.rna,G11.5.rna,G1.1.rna,G1.2.rna,G1.3.rna,G1.4.rna,G1.5.rna,V10A.1.rna,V10A.2.rna,V10A.3.rna,V10A.4.rna,V10A.5.rna
1,Acidimicrobiia,85.0556456605,223.3132063005,162.4533889906,387.2283568685,168.0066212015,39.1570123963,97.1803278225,118.513652898,136.7688478911,110.0346345083,88.0215464085,133.3604040783,192.0990565903,203.8465304905,182.0503826051
2,Acidithiobacillia,4.1280798701,5.409719145,18.6757439313,6.7096538601,10.0516781911,0.8092864247,2.8853540633,2.3477602879,4.3052588432,2.8391338046,1.1711222248,1.3126981079,2.433012626,2.4708670362,4.5363861681
3,Acidobacteriia,659.3747576065,1634.5141812971,1700.6439422309,1131.542458954,676.6035882817,457.8071051871,1263.6247822019,1749.2743812615,1193.8636531163,848.5370161035,269.1707321394,436.788140794,344.2531297858,739.4893228395,998.8601772653
4,Aconoidasida,0,0.1731110126,0.4477061901,0.0508307111,0.0448735634,0.0622528019,0,0.0321610998,0.1153194333,0.1819957567,0,0.0486184484,0.1089408639,0.1647244691,0.0743669864
5,Actinobacteria,1713.4971527758,1951.2640566777,1442.8291347503,6681.3919848201,1011.3603709003,1880.2213758979,1333.1137258949,2506.378832529,1506.4946367792,1462.0811111708,2606.7306924796,3094.467006568,1852.9025260037,1945.2724365415,1470.2353203253
6,Agaricomycetes,1.5480299514,3.7218867718,7.5470472053,3.3039962189,2.4231724213,1.9920896608,5.4901875925,7.0432808642,5.5353327983,4.1131041016,2.4827791165,5.2994108801,3.8492438562,5.4770885965,6.0237258954
7,Alphaproteobacteria,649.5705679234,1499.3144804759,1409.3790865619,1508.7063350492,1013.7835433693,492.4196630454,826.3734185873,1221.9609882838,827.0709756169,806.2412021925,527.1923806901,866.5752250241,768.1783446683,1032.7812400391,1177.3409445957
8,Anaerolineae,54.0090449684,90.1042820763,90.8203985701,120.0113088165,76.5542990815,21.5394694582,61.6343687379,50.2677990452,63.3488086915,53.4339541713,24.1719627178,36.026270296,60.7890020305,79.8913675065,93.7024028102
9,Aquificae,2.4080465913,4.7605528474,4.9887261186,2.7956891086,3.5450115056,2.8636288876,2.2441642718,4.8241649752,4.5358977098,3.3851210745,2.5296240054,3.6950020817,3.1955986732,4.3651984307,3.6811658252
10,Archaeoglobi,0.6020116477,0.2163887658,1.4070765975,0.6099685328,0.4487356337,0,0.240446172,0.1608054991,0.6150369776,0.2547940594,0,0.0972368969,0.2541953491,0.164724469,0.3346514387
