,Group.1,G11.1.rna,G11.2.rna,G11.3.rna,G11.4.rna,G11.5.rna,G1.1.rna,G1.2.rna,G1.3.rna,G1.4.rna,G1.5.rna,V10A.1.rna,V10A.2.rna,V10A.3.rna,V10A.4.rna,V10A.5.rna
1,Abiotrophia,0,0,0,0,0,0,0,0,0.0768796222,0,0,0,0,0,0
2,Absidia,0.086001664,0.2596665189,0.5116642173,0.2541535553,0,0,0,0.0321610998,0.0384398111,0.109197454,0.093689778,0.1944737938,0.5447043193,0.2470867036,0.4462019181
3,Acanthamoeba,0.086001664,0.3894997784,0.3197901358,0.5083071106,0.2692413801,0,0.040074362,0.0964832995,0.1537592444,0.4731889675,0.046844889,0.0972368968,0.1815681064,0.2882678209,0.4462019181
4,Acaricomes,0.086001664,0,0,0,0,0,0,0,0,0,0,0,0.0726272426,0.1235433518,0
5,Acaryochloris,0.1720033279,0.1298332595,0.383748163,0.1524921332,0.3141149435,0.1867584057,0.2003718099,0.4502553977,0.384398111,0.2547940593,0.093689778,0.0486184484,0.4720770767,0.1235433518,0.0371834932
6,Acetabularia,0,0,0,0,0,0.1867584057,0,0.0321610998,0,0,0.093689778,0.1458553453,0,0,0
7,Acetanaerobacterium,0.086001664,0.1298332595,0,0.0508307111,0.0448735634,0.1245056038,0.120223086,0.3859331981,0.4228379221,0.2911932107,0,0,0.0363136213,0,0.1115504796
8,Acetitomaculum,0,0,0,0.0508307111,0,0,0.040074362,0.1608054992,0,0,0,0,0,0,0
9,Acetivibrio,0,0,0,0.0508307111,0.1794942534,0,0,0.0321610998,0.1921990555,0.1455966054,0,0,0.0726272426,0,0.1859174659
10,Acetoanaerobium,0.1720033279,0.2163887658,0,0,0,0.0622528019,0.080148724,0.0321610998,0.384398111,0.109197454,0,0.0972368969,0.0726272426,0.0823622345,0.2231009591
11,Acetobacter,2.1500415993,6.5782184808,5.5003903358,3.3548269301,2.3334252949,2.3656064722,3.6868413031,5.91764237,4.0361801654,2.9483312587,0.608983557,1.7502641438,1.6704265794,2.429685919,2.1938260982
12,Acetobacterium,0.1720033279,0.3029442721,0.3197901358,0.2033228443,0.0897471267,0.1867584057,0.320594896,1.2221217939,0.4997175443,0.1455966053,0.140534667,0,0.1452544851,0.164724469,0
13,Acetohalobium,0.086001664,0,0.1918740815,0.0508307111,0,0,0.040074362,0.0643221996,0.1921990555,0,0.140534667,0.1458553453,0,0.0411811173,0
14,Acetomicrobium,0.7740149758,1.0819438291,0.5756222446,0.8641220881,0.7628505771,1.4318144438,1.1220821356,2.4120824878,2.2679488549,1.9291550212,0.46844889,0.8265136233,1.270976745,1.4413391044,1.1155047955
15,Acetonema,0.2580049919,0.1298332595,0.1279160544,0.3558149774,0.5384827602,0,0,0.1286443993,0.3459582999,0.0363991513,0.093689778,0.0972368969,0.1452544851,0.3706300555,0.1115504795
16,Achlya,0,0.0865555063,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Acholeplasma,1.0320199676,1.5579991136,0.8314543531,1.0166142212,1.0769655204,0.684780821,0.7614128777,1.9296659903,1.2300739552,1.2739702967,0.374759112,0.6320398296,0.8352132896,0.6588978762,1.6360737
